"z","y","x","ch"
6,1698,178,3
14,1106,760,3
8,1516,1256,3
10,1354,1028,3
7,1676,1172,3
16,478,718,3
18,652,450,3
8,1768,462,3
12,912,1158,3
15,650,280,3
18,408,1046,3
9,1426,1314,3
12,1320,956,3
16,1180,910,3
9,1634,256,3
22,558,738,3
13,1244,964,3
16,1050,844,3
4,1910,410,3
5,1792,46,3
10,1370,1102,3
20,394,1010,3
7,2026,742,3
11,1324,984,3
16,538,904,3
19,252,862,3
10,1446,840,3
21,1250,954,3
9,1600,320,3
19,308,892,3
7,1860,182,3
12,1352,978,3
9,1496,968,3
15,826,868,3
15,1132,838,3
16,612,1030,3
9,1492,772,3
8,1508,984,3
10,1772,446,3
15,672,1050,3
7,1532,1052,3
18,468,944,3
9,1604,264,3
16,564,1118,3
19,586,620,3
11,1174,1190,3
29,398,916,3
14,1412,1072,3
18,1286,954,3
8,1774,40,3
8,1766,270,3
6,1514,1238,3
11,1258,1018,3
22,496,850,3
16,618,398,3
18,298,1206,3
5,1596,854,3
10,1624,884,3
9,1484,752,3
8,1540,964,3
15,796,890,3
10,2042,640,3
17,488,994,3
19,304,744,3
18,462,622,3
8,1610,222,3
8,1548,218,3
7,1688,1082,3
23,392,898,3
9,1664,442,3
8,1412,1024,3
9,1388,1088,3
14,1002,994,3
23,414,1062,3
10,1374,1198,3
7,1930,450,3
14,1862,260,3
9,1516,764,3
13,1116,846,3
11,1786,306,3
20,352,1160,3
14,678,506,3
10,1848,354,3
16,686,1012,3
17,652,316,3
8,1568,156,3
11,1880,448,3
11,1344,932,3
20,542,690,3
20,310,930,3
22,408,842,3
10,1600,434,3
17,312,802,3
7,1660,1204,3
6,1688,1234,3
21,470,1060,3
27,496,862,3
18,506,1130,3
22,420,660,3
8,1640,1024,3
6,1996,598,3
21,316,1052,3
23,348,702,3
6,1706,80,3
14,712,1068,3
14,1228,978,3
14,1360,998,3
14,1376,956,3
7,1832,404,3
8,1546,1116,3
12,970,776,3
8,1654,514,3
12,1424,960,3
5,1618,992,3
23,302,866,3
16,1080,818,3
15,1162,968,3
16,1044,832,3
15,1138,882,3
27,396,942,3
12,1282,238,3
11,1094,1130,3
11,1348,1014,3
5,1854,1276,3
13,1024,1040,3
4,2034,852,3
24,530,778,3
9,1384,894,3
19,160,988,3
6,1586,1204,3
6,1786,64,3
15,738,984,3
16,1146,920,3
19,358,1206,3
16,410,968,3
18,436,682,3
6,1744,40,3
18,656,940,3
19,550,864,3
12,1336,1056,3
10,1816,176,3
7,1740,260,3
22,328,1012,3
5,1802,454,3
8,1938,234,3
17,1130,908,3
19,536,592,3
17,302,858,3
20,610,1018,3
9,1522,1180,3
12,1272,1112,3
13,998,948,3
13,812,1040,3
8,1552,1122,3
12,1026,1100,3
26,382,1016,3
14,1350,990,3
25,512,760,3
8,1452,1140,3
14,1348,1046,3
15,582,984,3
14,906,982,3
9,1540,1158,3
7,1818,368,3
6,1646,1066,3
8,1540,568,3
13,1286,988,3
17,504,1052,3
8,1782,242,3
15,682,336,3
8,1772,338,3
8,1648,1004,3
14,1172,1094,3
6,1936,192,3
19,66,132,3
23,334,932,3
17,1094,780,3
9,1564,1094,3
7,1670,202,3
7,1640,1008,3
9,1656,342,3
12,1570,230,3
18,306,1210,3
7,1612,846,3
5,2018,584,3
17,338,1250,3
22,1260,924,3
23,364,872,3
11,1618,964,3
19,608,970,3
19,658,894,3
18,474,1106,3
13,1228,1118,3
8,1560,890,3
23,368,980,3
26,538,844,3
15,666,1086,3
14,902,948,3
19,358,784,3
15,768,944,3
5,1704,1176,3
11,1776,412,3
7,1664,12,3
4,1996,348,3
10,1856,450,3
17,494,754,3
9,1256,1216,3
9,1522,702,3
6,1810,122,3
20,476,632,3
20,476,736,3
8,1510,1344,3
10,1942,254,3
9,1766,124,3
6,2022,758,3
11,1240,1196,3
15,670,1020,3
18,532,690,3
19,454,858,3
13,1164,1130,3
16,1054,838,3
7,1396,1278,3
8,1694,428,3
6,2024,590,3
13,980,798,3
9,1498,662,3
15,928,960,3
12,1214,992,3
9,1530,1042,3
16,440,694,3
18,580,704,3
6,1660,66,3
6,1828,1308,3
17,472,984,3
9,1378,1254,3
10,1316,812,3
9,1540,926,3
7,1710,518,3
25,420,814,3
9,1836,360,3
6,1578,1216,3
6,1506,680,3
5,2030,480,3
8,1650,1026,3
11,1480,924,3
14,1618,292,3
10,1236,1088,3
5,1996,542,3
19,344,888,3
7,1512,1200,3
8,1574,120,3
7,1890,266,3
8,1704,108,3
8,1704,314,3
10,1570,1232,3
10,1886,480,3
18,434,1088,3
19,634,1010,3
4,1860,400,3
9,1532,762,3
7,1888,72,3
8,1504,760,3
12,1262,984,3
9,1514,1082,3
12,1242,802,3
18,284,960,3
21,556,906,3
17,608,396,3
13,1062,1138,3
8,1636,414,3
16,572,1112,3
17,640,952,3
17,608,610,3
7,1670,1098,3
14,1072,766,3
10,1322,836,3
8,1842,352,3
17,668,994,3
6,1906,376,3
17,586,1074,3
21,1052,890,3
7,1912,382,3
6,1888,404,3
19,520,1044,3
21,372,694,3
14,566,1080,3
9,1556,1150,3
9,1282,768,3
15,1014,848,3
11,1650,360,3
10,1722,282,3
17,268,926,3
9,1464,1270,3
11,1736,266,3
12,1288,1052,3
15,704,316,3
26,422,768,3
18,306,1162,3
4,2032,362,3
14,762,932,3
16,638,392,3
18,1022,906,3
9,1572,742,3
9,1808,396,3
9,1736,422,3
7,1586,1060,3
11,1138,1208,3
4,1844,1280,3
7,1884,304,3
20,356,712,3
10,1206,796,3
13,1006,788,3
15,556,888,3
12,1136,1108,3
6,1768,434,3
10,1854,294,3
4,2020,890,3
12,1360,1156,3
21,336,874,3
20,306,766,3
13,1002,770,3
19,452,714,3
16,1248,998,3
23,342,1006,3
23,460,942,3
18,510,1118,3
6,1624,1112,3
10,1722,368,3
13,1088,1010,3
14,1188,794,3
6,1716,476,3
7,1952,292,3
23,366,680,3
9,1380,652,3
20,410,828,3
10,1486,938,3
23,396,1088,3
7,2030,584,3
4,1998,570,3
12,1332,1080,3
16,612,960,3
12,1736,396,3
6,2018,518,3
11,1232,1172,3
15,1288,1042,3
6,1670,1186,3
26,412,924,3
9,1476,1240,3
21,326,744,3
24,396,1064,3
26,524,926,3
21,354,796,3
27,498,902,3
16,618,270,3
10,1688,174,3
16,1252,894,3
7,1582,292,3
6,1804,194,3
8,1558,800,3
13,736,972,3
13,1228,886,3
12,1270,1150,3
18,202,996,3
18,490,858,3
6,1738,1134,3
18,444,1056,3
9,1850,154,3
23,374,684,3
22,550,724,3
14,1330,894,3
14,758,342,3
20,290,1268,3
14,1114,778,3
21,442,666,3
7,1426,1256,3
17,334,1060,3
14,922,1186,3
24,456,800,3
15,824,980,3
9,1798,320,3
19,346,1004,3
15,704,450,3
15,626,272,3
17,1296,1012,3
16,608,760,3
9,1640,168,3
18,366,906,3
26,462,926,3
12,1414,1042,3
24,434,828,3
15,1312,1064,3
19,582,916,3
5,1954,410,3
20,314,986,3
12,1038,1164,3
6,1804,70,3
9,1758,452,3
21,350,756,3
13,874,1232,3
10,1246,1230,3
18,1130,1048,3
10,1310,1160,3
18,428,800,3
10,1756,314,3
16,650,888,3
6,1624,1138,3
9,1416,696,3
11,1120,1148,3
10,1518,774,3
9,1840,198,3
10,1454,1092,3
9,1630,172,3
15,960,1028,3
17,512,772,3
12,1126,780,3
12,1468,780,3
18,458,690,3
18,310,1000,3
30,444,940,3
9,1750,220,3
13,1250,804,3
14,928,942,3
8,1758,420,3
9,1606,386,3
9,1678,248,3
5,1606,888,3
17,318,1036,3
8,1558,1222,3
8,1590,178,3
9,1344,1274,3
17,680,1004,3
17,640,1038,3
7,1900,262,3
13,1062,1072,3
15,746,912,3
7,1664,82,3
18,274,960,3
18,466,730,3
20,250,960,3
9,1540,1318,3
16,1320,1022,3
11,1584,264,3
20,284,716,3
12,1282,958,3
9,1666,422,3
7,1564,190,3
13,1064,1008,3
16,1326,952,3
20,330,914,3
10,1394,690,3
10,1638,1038,3
16,674,1010,3
15,802,914,3
14,1002,1052,3
9,1780,454,3
14,912,858,3
10,1402,772,3
6,1950,200,3
25,442,968,3
8,1632,274,3
10,1448,742,3
14,884,342,3
24,410,1044,3
7,1558,1184,3
9,1456,1178,3
14,1848,270,3
12,1078,1128,3
9,1432,642,3
16,618,1136,3
16,646,964,3
8,1610,1112,3
12,1576,306,3
4,1772,52,3
19,168,1380,3
10,1604,422,3
9,1746,306,3
23,360,886,3
8,1606,942,3
7,1564,860,3
14,1062,1056,3
19,512,668,3
6,1824,474,3
10,1244,922,3
16,634,564,3
5,1670,1278,3
5,1990,516,3
8,1366,1142,3
14,720,1118,3
16,1140,844,3
18,1112,920,3
8,1590,240,3
21,378,828,3
6,1496,1260,3
9,1342,1266,3
8,1474,752,3
22,390,832,3
13,852,1110,3
8,1498,296,3
6,1776,488,3
5,2006,634,3
15,1172,850,3
11,1410,1164,3
17,260,1196,3
7,1778,342,3
4,1988,592,3
6,1974,356,3
21,324,830,3
14,966,612,3
6,1566,1086,3
11,1504,1000,3
14,724,936,3
7,1902,450,3
8,1576,1084,3
6,1932,228,3
15,718,896,3
6,1740,220,3
15,1262,836,3
25,472,818,3
9,1576,878,3
12,1154,794,3
28,440,912,3
7,1652,1182,3
8,1596,1250,3
7,1556,1206,3
9,1524,1138,3
8,1498,1022,3
8,1538,1098,3
9,1732,364,3
15,708,424,3
22,418,838,3
7,1982,360,3
9,1398,922,3
14,812,920,3
9,1620,394,3
7,1682,178,3
16,586,654,3
18,222,976,3
17,1312,1046,3
12,1860,242,3
8,1564,1062,3
19,338,1210,3
16,1022,846,3
14,824,1164,3
19,240,986,3
19,408,938,3
18,314,1248,3
11,1218,98,3
10,1752,326,3
10,1156,1080,3
7,1622,808,3
19,312,880,3
10,1254,1182,3
14,804,892,3
18,390,1086,3
8,1424,1182,3
9,1622,496,3
10,1312,826,3
21,394,964,3
16,1028,838,3
9,1892,198,3
16,554,508,3
9,1852,412,3
15,684,984,3
13,1308,948,3
14,1170,834,3
8,1636,1192,3
22,326,1002,3
8,1904,280,3
14,1358,1018,3
9,1326,1234,3
18,380,750,3
7,1414,1574,3
9,1482,1008,3
24,360,962,3
10,1304,768,3
20,192,1006,3
5,2028,796,3
19,270,836,3
9,1452,964,3
6,1650,102,3
9,1460,1308,3
14,746,950,3
18,344,1188,3
5,1826,68,3
20,172,1390,3
9,1624,314,3
14,848,1074,3
12,1066,776,3
8,1620,152,3
9,1690,382,3
19,356,760,3
18,588,734,3
13,1044,1078,3
16,472,1090,3
9,1332,1038,3
15,818,852,3
17,514,1058,3
25,308,838,3
6,1754,304,3
4,1928,26,3
10,1694,506,3
15,652,1036,3
8,1584,1086,3
13,902,828,3
23,512,964,3
10,1742,446,3
15,1252,796,3
15,704,906,3
19,426,1070,3
18,250,992,3
15,1394,952,3
17,516,1132,3
19,384,846,3
24,1020,972,3
9,1532,104,3
19,386,702,3
15,754,240,3
8,1716,256,3
8,1688,228,3
4,1986,604,3
11,1322,1040,3
6,1760,44,3
15,1092,836,3
15,1164,824,3
6,1408,1312,3
8,1742,1146,3
5,1788,344,3
7,1510,908,3
9,1542,1092,3
17,390,872,3
5,1750,532,3
19,384,898,3
6,2032,654,3
10,1698,380,3
16,786,978,3
20,392,782,3
10,1500,330,3
8,1704,336,3
26,350,1040,3
11,1350,1266,3
12,1500,948,3
17,1100,858,3
14,1032,886,3
11,1080,894,3
16,702,1024,3
19,630,812,3
18,1008,1000,3
10,1362,744,3
9,1658,678,3
14,1214,780,3
23,1030,962,3
17,1034,1026,3
9,1446,1320,3
10,1216,78,3
14,574,1038,3
15,1144,900,3
7,1710,62,3
18,344,1148,3
20,546,846,3
15,754,888,3
13,1034,784,3
12,950,596,3
9,1510,662,3
14,704,932,3
17,1250,868,3
8,1912,406,3
6,2026,690,3
9,1558,340,3
13,846,1106,3
13,1018,1070,3
13,1054,748,3
16,1270,832,3
17,622,1026,3
18,270,816,3
5,1824,114,3
9,1650,284,3
18,634,968,3
18,1134,1008,3
5,1764,410,3
8,1572,1100,3
11,1346,740,3
4,2030,742,3
19,598,966,3
22,292,960,3
19,388,756,3
9,1374,736,3
10,1320,1298,3
5,1868,10,3
14,764,914,3
16,522,716,3
8,1890,250,3
14,1854,352,3
8,1622,282,3
11,1418,808,3
16,294,1292,3
26,338,926,3
16,968,930,3
19,1322,928,3
5,1894,30,3
17,562,622,3
14,822,238,3
14,744,988,3
12,984,1016,3
5,1692,1122,3
8,1690,486,3
6,1646,956,3
18,338,1038,3
18,356,866,3
17,1170,1018,3
15,1382,926,3
15,1430,976,3
18,242,716,3
24,58,576,3
24,496,944,3
15,718,1202,3
8,1790,328,3
23,500,736,3
9,1376,1354,3
8,1532,926,3
8,1674,402,3
10,1170,1146,3
16,904,940,3
21,444,880,3
7,1594,772,3
7,2022,362,3
15,740,968,3
13,1114,830,3
9,1652,314,3
18,282,1286,3
9,1610,270,3
18,294,1156,3
7,1552,1332,3
11,1114,1200,3
16,686,234,3
6,1932,310,3
15,782,1096,3
11,1618,412,3
17,608,410,3
17,1074,1022,3
6,1660,1102,3
11,1640,410,3
16,584,966,3
8,1696,492,3
6,1482,1304,3
14,1292,1126,3
6,1568,906,3
8,1418,970,3
6,1588,192,3
13,966,788,3
9,1508,318,3
14,1016,866,3
10,1916,434,3
16,590,1040,3
8,1528,76,3
5,1690,432,3
13,1770,488,3
17,638,1016,3
17,312,900,3
6,1866,1274,3
18,434,1166,3
9,1740,174,3
10,1532,780,3
15,752,414,3
8,1450,1272,3
10,1386,1048,3
19,274,1008,3
18,512,744,3
16,326,802,3
6,1632,990,3
5,1616,1140,3
26,364,1032,3
10,1364,1242,3
20,364,842,3
25,478,986,3
16,614,550,3
19,454,818,3
13,1776,266,3
20,540,886,3
4,1744,24,3
15,652,258,3
13,846,848,3
16,726,992,3
14,1054,1078,3
18,384,734,3
3,1924,70,3
15,1106,960,3
5,2034,264,3
7,1740,196,3
18,372,872,3
20,284,902,3
22,338,812,3
10,1224,1174,3
17,302,1226,3
4,1894,368,3
7,1726,412,3
8,1482,1190,3
13,1084,1162,3
5,1722,72,3
13,1052,826,3
15,1028,1066,3
8,1610,1194,3
10,1676,374,3
16,646,244,3
21,334,748,3
20,252,840,3
10,1416,776,3
7,1596,808,3
8,1388,1288,3
13,1006,744,3
16,698,1142,3
9,1596,292,3
25,432,1066,3
9,1478,1206,3
12,1070,1120,3
14,758,948,3
19,348,876,3
8,1556,1100,3
15,630,1104,3
9,1456,656,3
18,304,1274,3
18,482,1020,3
17,1088,880,3
20,220,690,3
14,1144,800,3
7,1624,986,3
6,1560,1136,3
3,1994,322,3
11,1204,1082,3
16,544,1036,3
19,1144,1012,3
12,838,1242,3
10,1250,1194,3
10,1664,252,3
14,1272,1028,3
14,746,1208,3
10,1246,862,3
21,362,1154,3
26,408,978,3
17,1164,946,3
14,1176,938,3
20,1260,864,3
14,1068,812,3
14,766,1002,3
8,1532,252,3
14,1410,968,3
13,938,1190,3
5,1792,136,3
12,1158,32,3
7,1682,118,3
5,1776,1294,3
19,268,908,3
16,362,1154,3
13,1172,786,3
13,952,1238,3
6,1708,276,3
21,476,696,3
27,422,846,3
11,1128,962,3
14,1296,970,3
14,940,960,3
10,1700,366,3
9,1796,450,3
18,1268,920,3
17,352,1178,3
11,1102,1012,3
23,420,1040,3
7,1700,352,3
18,418,688,3
7,1594,1064,3
19,470,1076,3
17,658,990,3
20,404,870,3
8,1724,396,3
16,1870,258,3
15,1358,902,3
18,418,748,3
17,536,950,3
20,464,666,3
9,1528,226,3
27,368,1090,3
6,1898,104,3
12,968,1230,3
17,328,994,3
26,474,800,3
14,708,1080,3
13,884,808,3
21,360,1062,3
10,1486,876,3
7,1650,388,3
18,386,910,3
9,1708,324,3
8,1616,788,3
17,1018,918,3
17,572,858,3
7,1596,1186,3
22,386,786,3
19,1080,1028,3
20,476,1084,3
15,874,934,3
11,1250,1224,3
30,472,894,3
9,1762,332,3
24,326,1054,3
13,850,940,3
9,1290,20,3
4,1722,1228,3
8,1572,250,3
19,574,734,3
26,490,904,3
17,590,1096,3
13,1380,1046,3
8,1466,672,3
7,1546,132,3
6,1654,452,3
8,1704,300,3
25,418,892,3
6,1710,1184,3
12,1266,1122,3
18,1220,1014,3
10,1390,1020,3
7,1548,190,3
16,606,1020,3
10,1236,1212,3
8,1344,1342,3
27,376,994,3
24,416,956,3
19,374,818,3
26,414,1026,3
12,1394,1068,3
19,466,1022,3
15,1260,814,3
14,1120,762,3
9,1566,938,3
25,330,872,3
15,868,950,3
18,282,796,3
11,1822,308,3
10,1386,934,3
27,444,1026,3
9,1512,734,3
13,1226,1040,3
10,1330,1262,3
4,1972,260,3
7,1692,446,3
18,298,1044,3
9,1522,680,3
20,980,962,3
16,1230,830,3
13,1386,970,3
9,1428,1166,3
14,1212,1102,3
6,1638,302,3
9,1572,856,3
16,624,340,3
21,1288,996,3
11,1300,816,3
6,1768,110,3
18,480,938,3
3,1968,332,3
4,1940,40,3
10,1484,1054,3
12,760,192,3
11,1556,314,3
11,1276,946,3
5,2020,662,3
8,1624,264,3
14,988,1058,3
9,1654,414,3
7,1564,1306,3
6,1700,54,3
11,1696,180,3
16,562,854,3
8,1470,1252,3
7,1614,1084,3
9,1562,328,3
7,1646,244,3
17,1228,878,3
20,288,804,3
7,1588,1098,3
8,1626,1004,3
18,658,908,3
15,708,366,3
14,872,278,3
19,448,802,3
6,1860,376,3
4,1884,182,3
14,848,230,3
7,2016,694,3
21,238,716,3
13,840,1138,3
24,518,734,3
8,1634,152,3
9,1750,164,3
17,1208,872,3
13,1112,994,3
9,1836,376,3
16,1142,1028,3
20,472,854,3
11,1552,292,3
11,1246,1268,3
23,1278,920,3
10,1362,1040,3
12,970,1022,3
9,1836,290,3
12,928,1198,3
21,518,764,3
9,1640,936,3
9,1438,842,3
20,482,688,3
14,1026,1086,3
8,1506,774,3
8,1508,124,3
6,1620,1234,3
6,1650,1306,3
10,1182,1012,3
21,470,824,3
10,1880,316,3
26,466,960,3
16,742,888,3
16,770,1140,3
12,1266,930,3
9,1588,1116,3
27,410,912,3
10,1540,952,3
14,886,994,3
9,1546,866,3
6,1936,420,3
6,1906,824,3
10,1678,196,3
26,464,1030,3
10,1098,1220,3
10,1428,1232,3
18,1212,992,3
15,852,876,3
9,1732,298,3
21,530,742,3
21,158,996,3
13,1390,884,3
17,1136,926,3
6,1614,1126,3
7,1826,202,3
17,368,1196,3
6,1846,396,3
5,1906,70,3
20,1248,842,3
15,838,942,3
12,1130,1140,3
10,1710,192,3
23,362,902,3
9,1596,232,3
7,1904,298,3
13,1198,876,3
15,1130,958,3
18,404,1162,3
7,1610,1060,3
18,1252,860,3
18,282,1018,3
6,1694,318,3
